"id_i","parent_id_i","path_i","type_i","name_s","order_s","from_h","to_h"
"3d2f31ab-9301-4d44-8601-c2696e10b09c","3babc4dc-3f07-4432-b90d-b45c61555c56","/rules/inputGroups","ruleInputGroup",,"0","73",
"dabd402e-1915-48b2-a115-94239aab1905","3b9971a2-dd89-46d3-b593-92522f3b1e95","/rules/inputGroups","ruleInputGroup",,"0","73",
"2aaa372f-5a66-4d93-943b-0ecb70a561e2","9e1ede82-9fe0-495c-bd8d-c1f875be5651","/rules/inputGroups","ruleInputGroup",,"0","73",
"582537ff-614e-4d7d-9614-8e89a6c2a15a","4d97f9e6-7ec4-4d1d-a61e-789b0debe539","/rules/inputGroups","ruleInputGroup",,"0","73",
"0d311f2b-b52e-4c52-993b-2ba8d9af4b43","48073ac4-104c-4412-bdac-65359749da0d","/rules/inputGroups","ruleInputGroup",,"0","73",
"b8b69379-0f20-4d67-b02e-f004a336c71a","907b4fb1-b79d-4dfb-97cb-587640abee1d","/rules/inputGroups","ruleInputGroup",,"0","73",
"6902e1b3-4669-4739-9bc5-860f54c72c24","df633eeb-9aa5-4632-a73e-9afe2b79ea59","/rules/inputGroups","ruleInputGroup",,"0","73",
"953697ab-7cd0-419a-80b1-e1be0795534a","e3dc5663-fa89-4cf5-aebf-1aba2546f382","/rules/inputGroups","ruleInputGroup",,"0","73",
"10c41989-19ff-40ee-9c48-440549328279","520b50e1-ff08-4326-9240-706dbef3b024","/rules/inputGroups","ruleInputGroup",,"0","73",
"739cead1-7823-443d-b8a0-2050c402d784","5effa30d-c676-46c8-89c0-21f35e9bd615","/rules/inputGroups","ruleInputGroup",,"0","73",
"9a06df5b-e820-45a2-86cf-19146d2812ce","6486ed6c-5e66-4361-b21d-1f3f42db1fc3","/rules/inputGroups","ruleInputGroup",,"0","73",
"9aaa9881-4a66-446e-8e3b-822f17b9fa67","64a4ca08-cfcb-4fb1-9e36-558676b0800b","/rules/inputGroups","ruleInputGroup",,"0","73",
"e8b8d9d1-17e2-4f2e-9f8f-9ca44c1c1453","4a20e039-34e0-4e71-8025-c13d552803b4","/rules/inputGroups","ruleInputGroup",,"0","73",
"25f58ca5-cde4-40a6-9e24-1304b9d7adda","0e1dc69b-dcc3-45f7-8cb6-29c9d72827a6","/rules/inputGroups","ruleInputGroup",,"0","73",
"35aa93d2-da97-4de2-a8a0-943ec61e14eb","7c09c041-df3e-46b8-b596-9326e1ba1cff","/rules/inputGroups","ruleInputGroup",,"0","73",
"0fc9c7ea-ec97-4f5d-9867-ebd82f0cfb6f","92458674-3ab0-44c5-b2f9-a0130b3094f9","/rules/inputGroups","ruleInputGroup",,"0","73",
"1bdee68c-3493-4ffc-9c04-74f860598831","dbe0b58f-849b-4aa0-9e2d-079297a15a15","/rules/inputGroups","ruleInputGroup",,"0","73",
"12a6cca8-302d-4f14-917c-9a40e11c16ad","789b8cad-956b-46be-97b6-d81aab57ac2b","/rules/inputGroups","ruleInputGroup",,"0","73",
"7e1d9298-6684-44c5-af8e-5926dc40ce03","5ca308f8-5a48-42d4-9371-7e9654543409","/rules/inputGroups","ruleInputGroup",,"0","73",
"4cfc0edc-83d0-4e6f-81a3-03afc0f16ef8","cc3f340b-f986-4a66-828c-fec495d6a325","/rules/inputGroups","ruleInputGroup",,"0","73",
"ab98463c-0fd4-42a8-b594-3e004635078d","18f5b86e-249c-42b7-9115-676bf802cab0","/rules/inputGroups","ruleInputGroup",,"0","73",
