"id_i","parent_id_i","path_i","type_i","category_s","explanation_s","state_s","score_s","upperBound_s","expectedValue_s","lowerBound_s","from_h","to_h"
"9e630a49-1e26-4aff-be2f-37f4ba594ca1","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","counts","distinct count","TRUE","0.08774366777883269",,,,"508",
"ea897727-22d7-4d03-9be4-a33cc41f797c","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19UUA86279A630905","FALSE","-0.10000000000000037",,,,"508",
"ee20b884-77aa-475a-98ee-551caa964e99","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","counts","non unique count","FALSE","-0.10000000000000037",,,,"508",
"f1f592a9-6fa6-47a1-80e2-e38c5e90e8d9","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","DLDLLLLLDLLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"ae3c2cfd-5eae-4275-8fce-22251380cc8d","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19UYA42662A300911","FALSE","-0.10000000000000037",,,,"508",
"037fc23a-a8a8-4f43-8264-a64affad936e","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","counts","duplicate count","FALSE","-0.10000000000000037",,,,"508",
"58ac1ca6-e625-4083-be8f-5bac488e5d0b","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","LLLLLDDLDDLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"783d1a73-41b4-46ab-8751-c9b181ca72e6","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","DLLLLDLDDLLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"4c166b54-47b2-446a-9241-6dc41c85cf3e","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19UUA662X5A562792","FALSE","-0.10000000000000037",,,,"508",
"52a04e71-d77a-4dc5-9e6a-a2ec294b9d3e","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19VDE3F71EE130322","FALSE","-0.10000000000000037",,,,"508",
"40f94e28-f39c-4ca2-8bef-2b25183ae9b5","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19UUA8F56EA523204","FALSE","-0.10000000000000037",,,,"508",
"8c1773f2-9808-4b65-b1bf-546a8b27ae75","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","DLLLLDLLDLLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"55f3095c-f68e-4caf-b251-ab8cfd27545b","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19UUA56823A815955","FALSE","-0.10000000000000037",,,,"508",
"5ea273f7-04ee-4d89-8acb-a9e1d36261bc","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","LLLLLDLDDLLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"06019600-67a4-4766-b550-cb130561deda","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19UUA65596A014473","FALSE","-0.10000000000000037",,,,"508",
"79a685b3-e915-4628-89a5-5fccb6a0f6e8","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","counts","unique count","TRUE","0.08774366777883269",,,,"508",
"953087ea-31b8-4c94-9a14-6d2f9079445f","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","LLLLLDDDDDLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"8ade40a7-ca49-4e9d-b9df-ef2ea6772761","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","19UUA9F2XCA714987","FALSE","-0.10000000000000037",,,,"508",
"07dcf8e2-417a-4d86-b947-e8783f0bbb93","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","counts","null count","TRUE","0.08774366777883269",,,,"508",
"fb952c6a-b605-4ab4-85e4-f99346e39ab7","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","fingerprints","FINGERPRINTS","TRUE","0.08774366777883269",,,,"508",
"86ba7375-dfd7-482d-90c0-9bf6b9e9fbeb","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","frequency_head","error: SQLite3::CorruptException: database disk image is malformed","FALSE","-0.10000000000000037",,,,"508",
"edabc2bf-5a58-4832-8e70-18a80de5d392","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","DLDLLDLLDLLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"557937bb-7aff-4680-b780-3b399278a2de","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","LLLLLDLLDLLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"8b6aa8dd-08e7-4475-b06e-f6292dcb5d5d","9ce2d892-acf7-4b55-a59a-ad5dee1ec766","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","LLLLLLLLDLLDDDDDD","TRUE","0.08774366777883269",,,,"508",
"5bb321a5-8614-49b4-92cb-0ba5e4665858","a83c2f71-adfd-405e-acac-dad986199d94","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","LLLLLLLLDLLDDDDDD","FALSE","-0.16234013683700083",,,,"512",
"5c395732-0df2-4af4-b154-08c5a27d9e5c","a83c2f71-adfd-405e-acac-dad986199d94","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState/explanations","anomalyExplanation","mask_head","LLLLLDDDDDLDDDDDD","FALSE","-0.16234013683700083",,,,"512",
