"id_i","parent_id_i","path_i","type_i","enabled_s","from_h","to_h"
"0ebb6260-2892-4001-bbeb-5e40a3ee426d","033df1b9-ef3c-48c7-b40a-a8fc98249221","/terms/standardizationRules","termStandardizationRules","true","73",
"01f9ba38-be49-4faa-9011-76b60c49aabd","08fcb90f-763b-40bf-ae7d-0601e7ec1651","/terms/standardizationRules","termStandardizationRules","true","73",
"8cb3f053-ed03-43d3-82e4-a7eabe859242","18ced8c1-9268-4590-a003-fa2d2e2075b0","/terms/standardizationRules","termStandardizationRules","true","73",
"b4be895f-f339-49c5-bcd5-6a9e4753063e","194e2db8-f939-45ae-8ebd-db7cf8c10bab","/terms/standardizationRules","termStandardizationRules","true","73",
"8f95b25a-60b3-410a-a33d-e6ba48ad7e3d","1d9b0a97-69b9-408c-b213-572eddad1933","/terms/standardizationRules","termStandardizationRules","true","73",
"38940808-af19-495b-8cbe-39e32b79ed4d","2491bad5-d692-45bc-a92e-1dc4cad51423","/terms/standardizationRules","termStandardizationRules","true","73",
"8820ec8a-da57-4140-8db0-db1b511811ca","307b8555-b350-49b8-9fe9-4516f6a70b38","/terms/standardizationRules","termStandardizationRules","true","73",
"e31fbb92-b9f8-496b-bed5-2ae88ddb7f49","324d3809-4fca-4fe3-b701-f97e9eccc135","/terms/standardizationRules","termStandardizationRules","true","73",
"f1678018-c918-4604-a96d-56ac5d3a7815","3729d9c0-d0c1-49ef-94d0-bed9f03cbae7","/terms/standardizationRules","termStandardizationRules","true","73",
"277e2690-463b-4a7f-9aa9-f656665010ca","49cffebf-9102-495b-995e-35cb8c6a2574","/terms/standardizationRules","termStandardizationRules","true","73",
"50c3f2e1-c674-4c77-b84d-336fe4bd3032","4a637533-42f0-40ec-a384-a713a4db36b2","/terms/standardizationRules","termStandardizationRules","true","73",
"725c7727-b964-4f50-8954-985b715dd931","4edd2449-cfe9-4f6f-81be-0b2a695f017c","/terms/standardizationRules","termStandardizationRules","true","73",
"7788bf1e-756b-472b-b3e1-e964f04aabf9","54bf3211-dca7-49e6-a1ce-8127464b1136","/terms/standardizationRules","termStandardizationRules","true","73",
